timestamp,component_id,discharge_pressure_bar,suction_pressure_bar,vibration_rms_mm_s,bearing_temperature_c,lube_oil_pressure_bar,motor_current_amps,status_indicator
2026-09-08 07:20:00,K-101,68.19,32.53,1.69,80.1,5.02,350.7,NOMINAL
2026-09-08 07:30:00,K-101,68.27,32.58,1.67,80.2,5.02,351.1,NOMINAL
2026-09-08 07:40:00,K-101,68.33,32.62,1.66,80.3,5.02,351.4,NOMINAL
2026-09-08 07:50:00,K-101,68.37,32.64,1.65,80.4,5.01,351.7,NOMINAL
2026-09-08 08:00:00,K-101,68.39,32.64,1.65,80.5,5.01,352.0,NOMINAL
2026-09-08 08:10:00,K-101,68.4,32.63,1.66,80.5,5.01,352.3,NOMINAL
2026-09-08 08:20:00,K-101,68.39,32.61,1.68,80.6,5.0,352.6,NOMINAL
2026-09-08 08:30:00,K-101,68.37,32.58,1.71,80.7,5.0,352.9,NOMINAL
2026-09-08 08:40:00,K-101,68.34,32.56,1.74,80.8,5.0,353.1,NOMINAL
2026-09-08 08:50:00,K-101,68.3,32.53,1.77,80.9,5.0,353.4,NOMINAL
2026-09-08 09:00:00,K-101,68.27,32.52,1.81,81.0,4.99,353.7,NOMINAL
2026-09-08 09:10:00,K-101,68.25,32.52,1.85,81.0,4.99,353.9,NOMINAL
2026-09-08 09:20:00,K-101,68.24,32.54,1.89,81.1,4.99,354.1,NOMINAL
2026-09-08 09:30:00,K-101,68.24,32.57,1.93,81.2,4.99,354.3,NOMINAL
2026-09-08 09:40:00,K-101,68.26,32.61,1.96,81.2,4.98,354.6,NOMINAL
2026-09-08 09:50:00,K-101,68.29,32.66,1.99,81.3,4.98,354.7,NOMINAL
2026-09-08 10:00:00,K-101,68.34,32.7,2.02,81.4,4.98,354.9,NOMINAL
2026-09-08 10:10:00,K-101,68.41,32.74,2.04,81.4,4.98,355.1,NOMINAL
2026-09-08 10:20:00,K-101,68.48,32.77,2.05,81.5,4.98,355.3,NOMINAL
2026-09-08 10:30:00,K-101,68.55,32.78,2.05,81.5,4.98,355.4,NOMINAL
2026-09-08 10:40:00,K-101,68.62,32.77,2.04,81.5,4.97,355.5,NOMINAL
2026-09-08 10:50:00,K-101,68.68,32.75,2.03,81.6,4.97,355.6,NOMINAL
2026-09-08 11:00:00,K-101,68.74,32.72,2.01,81.6,4.97,355.7,NOMINAL
2026-09-08 11:10:00,K-101,68.77,32.68,1.98,81.6,4.97,355.8,NOMINAL
2026-09-08 11:20:00,K-101,68.79,32.65,1.95,81.7,4.97,355.9,NOMINAL
2026-09-08 11:30:00,K-101,68.79,32.62,1.92,81.7,4.97,355.9,NOMINAL
2026-09-08 11:40:00,K-101,68.76,32.6,1.88,81.7,4.97,356.0,NOMINAL
2026-09-08 11:50:00,K-101,68.73,32.6,1.84,81.7,4.97,356.0,NOMINAL
2026-09-08 12:00:00,K-101,68.68,32.61,1.8,81.7,4.97,356.0,NOMINAL
2026-09-08 12:10:00,K-101,68.62,32.64,1.76,81.7,4.97,356.0,NOMINAL
2026-09-08 12:20:00,K-101,68.56,32.67,1.73,81.7,4.97,356.0,NOMINAL
2026-09-08 12:30:00,K-101,68.5,32.71,1.7,81.7,4.97,355.9,NOMINAL
2026-09-08 12:40:00,K-101,68.44,32.75,1.68,81.7,4.97,355.9,NOMINAL
2026-09-08 12:50:00,K-101,68.4,32.77,1.66,81.6,4.97,355.8,NOMINAL
2026-09-08 13:00:00,K-101,68.38,32.79,1.65,81.6,4.97,355.7,NOMINAL
2026-09-08 13:10:00,K-101,68.36,32.78,1.65,81.6,4.97,355.6,NOMINAL
2026-09-08 13:20:00,K-101,68.37,32.77,1.66,81.5,4.97,355.5,NOMINAL
2026-09-08 13:30:00,K-101,68.39,32.73,1.67,81.5,4.98,355.4,ALERT
2026-09-08 13:40:00,K-101,68.7,32.69,2.16,82.8,4.92,361.8,ALERT
2026-09-08 13:50:00,K-101,69.0,32.64,2.62,83.9,4.87,367.7,ALERT
2026-09-08 14:00:00,K-101,69.27,32.6,3.03,84.9,4.83,372.7,WARNING
2026-09-08 14:10:00,K-101,69.48,32.57,3.35,85.7,4.8,376.6,WARNING
2026-09-08 14:20:00,K-101,69.62,32.55,3.57,86.1,4.78,378.9,WARNING
2026-09-08 14:30:00,K-101,69.68,32.54,3.67,86.2,4.77,379.5,WARNING
2026-09-08 14:40:00,K-101,69.65,32.55,3.65,86.0,4.78,378.5,WARNING
2026-09-08 14:50:00,K-101,69.53,32.57,3.51,85.4,4.8,375.7,WARNING
2026-09-08 15:00:00,K-101,69.32,32.6,3.25,84.5,4.84,371.5,WARNING
2026-09-08 15:10:00,K-101,69.05,32.63,2.91,83.4,4.89,366.0,ALERT
2026-09-08 15:20:00,K-101,68.72,32.66,2.5,82.1,4.94,359.7,ALERT
2026-09-08 15:30:00,K-101,68.36,32.67,2.04,80.7,5.0,352.9,ALERT
2026-09-08 15:40:00,K-101,68.27,32.67,2.05,80.6,5.0,352.6,NOMINAL
2026-09-08 15:50:00,K-101,68.19,32.66,2.05,80.5,5.01,352.3,NOMINAL
2026-09-08 16:00:00,K-101,68.1,32.63,2.04,80.5,5.01,352.0,NOMINAL
2026-09-08 16:10:00,K-101,68.02,32.58,2.02,80.4,5.01,351.7,NOMINAL
2026-09-08 16:20:00,K-101,67.96,32.53,2.0,80.3,5.02,351.4,NOMINAL
2026-09-08 16:30:00,K-101,67.91,32.48,1.97,80.2,5.02,351.1,NOMINAL
2026-09-08 16:40:00,K-101,67.88,32.44,1.93,80.1,5.02,350.7,NOMINAL
2026-09-08 16:50:00,K-101,67.86,32.4,1.89,80.0,5.03,350.4,NOMINAL
2026-09-08 17:00:00,K-101,67.86,32.38,1.85,79.8,5.03,350.1,NOMINAL
2026-09-08 17:10:00,K-101,67.87,32.37,1.81,79.7,5.03,349.7,NOMINAL
2026-09-08 17:20:00,K-101,67.9,32.38,1.78,79.6,5.04,349.4,NOMINAL
2026-09-08 17:30:00,K-101,67.92,32.4,1.74,79.5,5.04,349.0,NOMINAL
2026-09-08 17:40:00,K-101,67.94,32.42,1.71,79.4,5.04,348.7,NOMINAL
2026-09-08 17:50:00,K-101,67.96,32.45,1.68,79.3,5.05,348.3,NOMINAL
2026-09-08 18:00:00,K-101,67.97,32.47,1.67,79.2,5.05,348.0,NOMINAL
2026-09-08 18:10:00,K-101,67.96,32.48,1.65,79.1,5.05,347.7,NOMINAL
2026-09-08 18:20:00,K-101,67.93,32.47,1.65,79.0,5.06,347.3,NOMINAL
2026-09-08 18:30:00,K-101,67.89,32.45,1.65,78.9,5.06,347.0,NOMINAL
2026-09-08 18:40:00,K-101,67.82,32.42,1.67,78.8,5.06,346.6,NOMINAL
2026-09-08 18:50:00,K-101,67.75,32.37,1.69,78.7,5.07,346.3,NOMINAL
2026-09-08 19:00:00,K-101,67.66,32.32,1.71,78.6,5.07,345.9,NOMINAL
2026-09-08 19:10:00,K-101,67.57,32.27,1.74,78.4,5.07,345.6,NOMINAL
2026-09-08 19:20:00,K-101,67.48,32.22,1.78,78.3,5.08,345.3,NOMINAL
2026-09-08 19:30:00,K-101,67.39,32.19,1.82,78.2,5.08,344.9,NOMINAL
2026-09-08 19:40:00,K-101,67.31,32.17,1.86,78.1,5.08,344.6,NOMINAL
2026-09-08 19:50:00,K-101,67.25,32.17,1.9,78.0,5.09,344.3,NOMINAL
2026-09-08 20:00:00,K-101,67.2,32.19,1.93,78.0,5.09,344.0,NOMINAL
2026-09-08 20:10:00,K-101,67.17,32.21,1.97,77.9,5.09,343.7,NOMINAL
2026-09-08 20:20:00,K-101,67.16,32.24,2.0,77.8,5.1,343.4,NOMINAL
2026-09-08 20:30:00,K-101,67.17,32.27,2.02,77.7,5.1,343.1,NOMINAL
2026-09-08 20:40:00,K-101,67.19,32.29,2.04,77.6,5.1,342.9,NOMINAL
2026-09-08 20:50:00,K-101,67.22,32.29,2.05,77.5,5.1,342.6,NOMINAL
2026-09-08 21:00:00,K-101,67.25,32.29,2.05,77.4,5.11,342.3,NOMINAL
2026-09-08 21:10:00,K-101,67.29,32.26,2.04,77.4,5.11,342.1,NOMINAL
2026-09-08 21:20:00,K-101,67.32,32.23,2.03,77.3,5.11,341.9,NOMINAL
2026-09-08 21:30:00,K-101,67.33,32.19,2.01,77.2,5.11,341.7,NOMINAL
2026-09-08 21:40:00,K-101,67.34,32.14,1.98,77.2,5.12,341.4,NOMINAL
2026-09-08 21:50:00,K-101,67.33,32.09,1.95,77.1,5.12,341.3,NOMINAL
2026-09-08 22:00:00,K-101,67.3,32.06,1.91,77.0,5.12,341.1,NOMINAL
2026-09-08 22:10:00,K-101,67.25,32.04,1.87,77.0,5.12,340.9,NOMINAL
2026-09-08 22:20:00,K-101,67.19,32.03,1.83,76.9,5.12,340.7,NOMINAL
2026-09-08 22:30:00,K-101,67.13,32.04,1.79,76.9,5.12,340.6,NOMINAL
2026-09-08 22:40:00,K-101,67.06,32.06,1.75,76.9,5.13,340.5,NOMINAL
2026-09-08 22:50:00,K-101,66.99,32.1,1.72,76.8,5.13,340.4,NOMINAL
2026-09-08 23:00:00,K-101,66.92,32.13,1.69,76.8,5.13,340.3,NOMINAL
2026-09-08 23:10:00,K-101,66.87,32.17,1.67,76.8,5.13,340.2,NOMINAL
2026-09-08 23:20:00,K-101,66.83,32.19,1.66,76.7,5.13,340.1,NOMINAL
2026-09-08 23:30:00,K-101,66.81,32.2,1.65,76.7,5.13,340.1,NOMINAL
2026-09-08 23:40:00,K-101,66.81,32.2,1.65,76.7,5.13,340.0,NOMINAL
2026-09-08 23:50:00,K-101,66.82,32.18,1.66,76.7,5.13,340.0,NOMINAL
