Tag_Number,Plant_Unit_Code,Subsystem_Description,Equipment_Service_Name,PID_Drawing_Reference,Instrument_Type,Measurement_Unit,Calibrated_Span,Design_Code_Standard,Metallurgy_Specification,Piping_Line_Size_Inches,Flange_Rating_ANSI,Design_Pressure_PSIG,Operating_Pressure_PSIG,Design_Temp_DegC,Operating_Temp_DegC,Safety_Integrity_Level,Voting_Logic,Normal_Operating_Value,Alarm_Low_PAL,Alarm_High_PAH,Trip_Low_PSLL,Trip_High_PSHH,Fail_Safe_Position,Four_Eyes_Auth_Required,Last_Calibration_Date,Next_Calibration_Due,Health_Integrity_Status,Assigned_Area_Engineer
07-TT-121B,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Temperature Transmitter Loop #121,PID-MRPL-SPM-121-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,24,1500# RTJ,1418,879,456,367,SIL-3,2oo3,361.31,310.0,385.0,270.0,410.0,N/A,TRUE,2024-08-25,2025-08-25,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
06-LT-122C,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Level Radar Transmitter Loop #122,PID-MRPL-PPU-122-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,4,900# RTJ,1086,737,504,437,SIL-1,1oo1,50.68,35.0,75.0,20.0,85.0,N/A,FALSE,2024-03-23,2025-03-23,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
04-SV-123D,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU ASME VIII Safety Relief Valve Loop #123,PID-MRPL-HGU-123-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,10,300# RF,650,450,200,155,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-08-04,2025-08-04,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
01-SV-124A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU ASME VIII Safety Relief Valve Loop #124,PID-MRPL-CDU-124-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,3,2500# RTJ,691,434,174,145,SIL-2,1oo2,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-08-14,2025-08-14,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
06-LT-125B,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Level Radar Transmitter Loop #125,PID-MRPL-PPU-125-REV4.2,Level Radar Transmitter,%,0 - 100 %,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,16,1500# RTJ,254,158,336,285,SIL-1,1oo1,50.99,35.0,75.0,20.0,85.0,N/A,FALSE,2024-07-19,2025-07-19,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
05-FT-126C,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Flow Transmitter Loop #126,PID-MRPL-SRU-126-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,36,1500# RTJ,1298,781,158,137,Non-SIL,1oo1,190.65,130.0,220.0,100.0,245.0,N/A,FALSE,2024-10-21,2025-10-21,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
03-MOV-127D,Unit 03 - PFCCU,Fluid Catalytic Cracking & PRU,Unit 03 - PFCCU Motor Operated Isolation Valve Loop #127,PID-MRPL-FCCU-127-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),8,150# RF,1780,1500,140,120,SIL-1,1oo1,0.95,0.0,1.0,0.0,1.0,Fail Locked (FL),FALSE,2024-08-31,2025-08-31,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
07-AT-128A,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Online Gas Analyzer (H2S/O2/CO) Loop #128,PID-MRPL-SPM-128-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),4,300# RF,994,602,497,430,SIL-2,1oo2,5.43,0.0,15.0,0.0,50.0,N/A,TRUE,2024-06-09,2025-06-09,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
04-VT-129B,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Bearing Vibration Accelerometer Loop #129,PID-MRPL-HGU-129-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),3,2500# RTJ,229,186,233,171,Non-SIL,1oo1,2.35,1.0,4.5,0.5,7.0,N/A,FALSE,2024-07-10,2025-07-10,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
04-PT-130C,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Pressure Transmitter Loop #130,PID-MRPL-HGU-130-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,10,900# RTJ,292,245,262,199,SIL-1,1oo1,72.11,60.0,80.0,50.0,85.0,N/A,FALSE,2024-04-06,2025-04-06,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
02-VT-131D,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Bearing Vibration Accelerometer Loop #131,PID-MRPL-DHDT-131-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),8,1500# RTJ,372,278,296,246,SIL-3,2oo3,2.13,1.0,4.5,0.5,7.0,N/A,TRUE,2024-04-19,2025-04-19,ALERT (Scheduled Inspection Window),Er. Sunita Patil (EMP-2490)
04-VT-132A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Bearing Vibration Accelerometer Loop #132,PID-MRPL-HGU-132-REV4.2,Bearing Vibration Accelerometer,mm/s RMS,0 - 25 mm/s,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,12,2500# RTJ,1214,1009,395,325,SIL-3,2oo3,2.35,1.0,4.5,0.5,7.0,N/A,TRUE,2024-09-27,2025-09-27,OPTIMAL (Normal In-Service Calibration),Er. R. K. Shenoy (EMP-3841)
06-AT-133B,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Online Gas Analyzer (H2S/O2/CO) Loop #133,PID-MRPL-PPU-133-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,AISI 316L Stainless Steel,3,2500# RTJ,1188,804,329,249,SIL-1,1oo1,5.36,0.0,15.0,0.0,50.0,N/A,FALSE,2024-03-28,2025-03-28,ALERT (Scheduled Inspection Window),Er. Anand Rao (EMP-1829)
07-FT-134C,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Flow Transmitter Loop #134,PID-MRPL-SPM-134-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,20,900# RTJ,772,518,340,286,SIL-3,2oo3,188.16,130.0,220.0,100.0,245.0,N/A,TRUE,2024-07-25,2025-07-25,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
04-SV-135D,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU ASME VIII Safety Relief Valve Loop #135,PID-MRPL-HGU-135-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,4,2500# RTJ,731,532,444,360,SIL-3,2oo3,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-09-07,2025-09-07,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
04-FT-136A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Flow Transmitter Loop #136,PID-MRPL-HGU-136-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,6,150# RF,1401,1138,157,122,Non-SIL,1oo1,196.43,130.0,220.0,100.0,245.0,N/A,FALSE,2024-09-28,2025-09-28,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
08-MOV-137B,Unit 08 - SWRO,30 MLD Sea Water Desalination Facility,Unit 08 - SWRO Motor Operated Isolation Valve Loop #137,PID-MRPL-SWRO-137-REV4.2,Motor Operated Isolation Valve,Status,Full Stroke Open/Close,API 610 / API 682 / IEC 61508,SA-516 Gr 70 Boiler Quality,30,300# RF,1687,1375,174,146,SIL-3,2oo3,0.96,0.0,1.0,0.0,1.0,Fail Locked (FL),TRUE,2024-04-15,2025-04-15,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
04-TT-138C,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Temperature Transmitter Loop #138,PID-MRPL-HGU-138-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,48,300# RF,1517,1111,406,327,Non-SIL,1oo1,385.92,310.0,385.0,270.0,410.0,N/A,FALSE,2024-05-24,2025-05-24,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
07-SV-139D,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT ASME VIII Safety Relief Valve Loop #139,PID-MRPL-SPM-139-REV4.2,ASME VIII Safety Relief Valve,barg,Pop Set Pressure,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,36,300# RF,1071,711,246,209,Non-SIL,1oo1,0.0,0.0,0.0,0.0,88.0,Fail Open (FO),TRUE,2024-04-14,2025-04-14,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
05-XV-140A,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Emergency Shutdown (ESD) Valve Loop #140,PID-MRPL-SRU-140-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,ASTM A216 Gr WCB Cast Steel,8,2500# RTJ,706,482,396,282,SIL-2,1oo2,0.94,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-06-23,2025-06-23,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
04-TT-141B,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Temperature Transmitter Loop #141,PID-MRPL-HGU-141-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,10,900# RTJ,1001,616,546,423,Non-SIL,1oo1,383.32,310.0,385.0,270.0,410.0,N/A,FALSE,2024-12-26,2025-12-26,OPTIMAL (Normal In-Service Calibration),Er. Sunita Patil (EMP-2490)
07-XV-142C,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Emergency Shutdown (ESD) Valve Loop #142,PID-MRPL-SPM-142-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,8,600# RF,1008,740,496,395,Non-SIL,1oo1,1.02,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-09-15,2025-09-15,OPTIMAL (Normal In-Service Calibration),Er. S. P. Hegde (EMP-2914)
07-XV-143D,Unit 07 - SPM/COT,Single Point Mooring & Tank Farm,Unit 07 - SPM/COT Emergency Shutdown (ESD) Valve Loop #143,PID-MRPL-SPM-143-REV4.2,Emergency Shutdown (ESD) Valve,Status,Trip Action Fast Stroke,API 610 / API 682 / IEC 61508,ASTM A106 Gr B Carbon Steel,10,900# RTJ,1633,1047,359,310,Non-SIL,1oo1,1.08,0.0,1.0,0.0,1.0,Fail Closed (FC),TRUE,2024-04-07,2025-04-07,CRITICAL (Immediate Turnaround Recalibration),Er. Anand Rao (EMP-1829)
01-TT-144A,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Temperature Transmitter Loop #144,PID-MRPL-CDU-144-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,16,300# RF,252,167,287,211,SIL-2,1oo2,350.03,310.0,385.0,270.0,410.0,N/A,TRUE,2024-06-25,2025-06-25,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
05-TT-145B,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Temperature Transmitter Loop #145,PID-MRPL-SRU-145-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,UNS S31803 2205 Duplex Stainless Steel,36,150# RF,866,568,155,130,SIL-3,2oo3,368.74,310.0,385.0,270.0,410.0,N/A,TRUE,2024-12-21,2025-12-21,OPTIMAL (Normal In-Service Calibration),Er. Jane D'Souza (EMP-7102)
01-AT-146C,Unit 01 - CDU/VDU,Atmospheric & Vacuum Distillation,Unit 01 - CDU/VDU Online Gas Analyzer (H2S/O2/CO) Loop #146,PID-MRPL-CDU-146-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,ASTM A743 Gr CA6NM (12% Cr),4,300# RF,1521,956,231,181,Non-SIL,1oo1,5.0,0.0,15.0,0.0,50.0,N/A,FALSE,2024-07-01,2025-07-01,ALERT (Scheduled Inspection Window),Er. Sunita Patil (EMP-2490)
02-FT-147D,Unit 02 - DHDT,Diesel Hydrotreating Complex,Unit 02 - DHDT Flow Transmitter Loop #147,PID-MRPL-DHDT-147-REV4.2,Flow Transmitter,MT/h,0 - 300 MT/h,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,24,150# RF,788,586,312,240,SIL-3,2oo3,191.36,130.0,220.0,100.0,245.0,N/A,TRUE,2024-11-28,2025-11-28,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
04-TT-148A,Unit 04 - HGU,Steam Methane Hydrogen Generation,Unit 04 - HGU Temperature Transmitter Loop #148,PID-MRPL-HGU-148-REV4.2,Temperature Transmitter,deg C,0 - 500 deg C,API 610 / API 682 / IEC 61508,SA-387 Gr 11 Class 2 Alloy Steel,24,2500# RTJ,1780,1505,520,367,SIL-3,2oo3,361.89,310.0,385.0,270.0,410.0,N/A,TRUE,2024-06-30,2025-06-30,ALERT (Scheduled Inspection Window),Er. M. B. Nayak (EMP-4102)
06-PT-149B,Unit 06 - PPU,Polypropylene Polymer Plant,Unit 06 - PPU Pressure Transmitter Loop #149,PID-MRPL-PPU-149-REV4.2,Pressure Transmitter,barg,0 - 100 barg,API 610 / API 682 / IEC 61508,Titanium Grade 2 Seamless,3,900# RTJ,891,676,544,425,Non-SIL,1oo1,68.0,60.0,80.0,50.0,85.0,N/A,FALSE,2024-10-07,2025-10-07,OPTIMAL (Normal In-Service Calibration),Er. M. B. Nayak (EMP-4102)
05-AT-150C,Unit 05 - SRU,Sulfur Recovery & Tail Gas Treatment,Unit 05 - SRU Online Gas Analyzer (H2S/O2/CO) Loop #150,PID-MRPL-SRU-150-REV4.2,Online Gas Analyzer (H2S/O2/CO),ppm,0 - 500 ppm,API 610 / API 682 / IEC 61508,Incoloy 800H High Temp Alloy,16,900# RTJ,1841,1441,257,194,Non-SIL,1oo1,4.99,0.0,15.0,0.0,50.0,N/A,FALSE,2024-11-22,2025-11-22,OPTIMAL (Normal In-Service Calibration),Er. Anand Rao (EMP-1829)
